INDIR,FOLDER,IN FILE,Year,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID,Lat,Long,Main Habitat,REVIEW USERID,INPATHMD5
R:\FSHEE\Science\UrbanBats\Acoustics\Bat Acoustic Recordings\ANM100\2023\ANM100 18Mile Swamp 21.3.23\18 mile swamp 21.3.23-22.2.23\output,,ANM100_20230321_183323_000.wav,2023,2.460719,1.08359,38402.031,39067.719,40086.441,21/03/2023,33:25.5,18,21/03/2023,33:25.5,6,nocluster,0,,0,,0,1,Scot,-27.524301,153.494432,Peat Swamp,,nYytv3Psj9P+c2qveWTetg==
R:\FSHEE\Science\UrbanBats\Acoustics\Bat Acoustic Recordings\ANM100\2023\ANM100 18Mile Swamp 21.3.23\18 mile swamp 21.3.23-22.2.23\output,,ANM100_20230321_182740_000.wav,2023,0.110687,5.08845,38846.02,40458.719,46313.746,21/03/2023,27:40.1,18,21/03/2023,27:40.1,6,nocluster,0,,0,,0,1,Scot,-27.524301,153.494432,Peat Swamp,,Mhdyfhas46AAY+YDx9/75g==
R:\FSHEE\Science\UrbanBats\Acoustics\Bat Acoustic Recordings\ANM100\2023\ANM100 18Mile Swamp 21.3.23\18 mile swamp 21.3.23-22.2.23\output,,ANM100_20230321_183159_000.wav,2023,0.000574,4.886038,38654.039,39736.027,42603.258,21/03/2023,18:31:59,18,21/03/2023,6:31:59,6,nocluster,0,,0,,0,1,Scot,-27.524301,153.494432,Peat Swamp,,m8/fyx5Pf6eeFgmnRTyMAg==
R:\FSHEE\Science\UrbanBats\Acoustics\Bat Acoustic Recordings\ANM100\2023\ANM100 18Mile Swamp 21.3.23\18 mile swamp 21.3.23-22.2.23\output,,ANM100_20230321_183332_000.wav,2023,0.105099,4.004653,34144.305,35101.711,37318.621,21/03/2023,33:32.1,18,21/03/2023,33:32.1,6,nocluster,0,,0,,0,1,Scot and Goulds,-27.524301,153.494432,Peat Swamp,,CCM9p3UProB0CgRuDlMOKw==
R:\FSHEE\Science\UrbanBats\Acoustics\Bat Acoustic Recordings\ANM100\2023\ANM100 18Mile Swamp 21.3.23\18 mile swamp 21.3.23-22.2.23\output,,ANM100_20230321_183427_000.wav,2023,0.203118,2.536276,39698.879,40574.574,43022.492,21/03/2023,34:27.2,18,21/03/2023,34:27.2,6,nocluster,0,,0,,0,1,Scot,-27.524301,153.494432,Peat Swamp,,ybt7a4p9JEvQ/GoHQr8BfQ==
R:\FSHEE\Science\UrbanBats\Acoustics\Bat Acoustic Recordings\ANM100\2023\ANM100 18Mile Swamp 21.3.23\18 mile swamp 21.3.23-22.2.23\output,,ANM100_20230321_183427_000.wav,2023,3.28116,0.566705,38716.445,39157.836,40274.859,21/03/2023,34:30.3,18,21/03/2023,34:30.3,6,nocluster,0,,0,,0,1,Scot,-27.524301,153.494432,Peat Swamp,,ybt7a4p9JEvQ/GoHQr8BfQ==
R:\FSHEE\Science\UrbanBats\Acoustics\Bat Acoustic Recordings\ANM100\2023\ANM100 18Mile Swamp 21.3.23\18 mile swamp 21.3.23-22.2.23\output,,ANM100_20230321_183254_000.wav,2023,0.000608,0.456696,38109.062,38386.188,38748.922,21/03/2023,18:32:54,18,21/03/2023,6:32:54,6,nocluster,0,,0,,0,1,Scot,-27.524301,153.494432,Peat Swamp,,vPNExxWNESDqnfZaPR2oFA==
R:\FSHEE\Science\UrbanBats\Acoustics\Bat Acoustic Recordings\ANM100\2023\ANM100 18Mile Swamp 21.3.23\18 mile swamp 21.3.23-22.2.23\output,,ANM100_20230321_183221_000.wav,2023,0.000617,7.283984,38419.746,39588.582,43270.996,21/03/2023,18:32:21,18,21/03/2023,6:32:21,6,nocluster,0,,0,,0,1,Scot,-27.524301,153.494432,Peat Swamp,,d43Njf7wmD2G+/YgJFwEhQ==
R:\FSHEE\Science\UrbanBats\Acoustics\Bat Acoustic Recordings\ANM100\2023\ANM100 18Mile Swamp 21.3.23\18 mile swamp 21.3.23-22.2.23\output,,ANM100_20230321_183221_000.wav,2023,7.789989,1.950962,38322.645,38772.641,39577.23,21/03/2023,32:28.8,18,21/03/2023,32:28.8,6,nocluster,0,,0,,0,1,Scot,-27.524301,153.494432,Peat Swamp,,d43Njf7wmD2G+/YgJFwEhQ==
R:\FSHEE\Science\UrbanBats\Acoustics\Bat Acoustic Recordings\ANM100\2023\ANM100 18Mile Swamp 21.3.23\18 mile swamp 21.3.23-22.2.23\output,,ANM100_20230321_183353_000.wav,2023,0.00057,2.019232,37622.051,38403.672,40059.121,21/03/2023,18:33:53,18,21/03/2023,6:33:53,6,nocluster,0,,0,,0,1,Scot,-27.524301,153.494432,Peat Swamp,,K4AvNsvdgWtsQUfO1eodyQ==
R:\FSHEE\Science\UrbanBats\Acoustics\Bat Acoustic Recordings\ANM100\2023\ANM100 18Mile Swamp 21.3.23\18 mile swamp 21.3.23-22.2.23\output,,ANM100_20230321_183353_000.wav,2023,2.63219,2.488047,38423.633,40127.48,46220.621,21/03/2023,33:55.6,18,21/03/2023,33:55.6,6,nocluster,0,,0,,0,1,Scot,-27.524301,153.494432,Peat Swamp,,K4AvNsvdgWtsQUfO1eodyQ==
R:\FSHEE\Science\UrbanBats\Acoustics\Bat Acoustic Recordings\ANM100\2023\ANM100 18Mile Swamp 21.3.23\18 mile swamp 21.3.23-22.2.23\output,,ANM100_20230321_183353_000.wav,2023,5.690144,1.541627,38147.879,38685.828,39683.371,21/03/2023,33:58.7,18,21/03/2023,33:58.7,6,nocluster,0,,0,,0,1,Scot,-27.524301,153.494432,Peat Swamp,,K4AvNsvdgWtsQUfO1eodyQ==
R:\FSHEE\Science\UrbanBats\Acoustics\Bat Acoustic Recordings\ANM100\2023\ANM100 18Mile Swamp 21.3.23\18 mile swamp 21.3.23-22.2.23\output,,ANM100_20230321_183353_000.wav,2023,8.617299,3.852794,38246.535,38756.895,39645.738,21/03/2023,34:01.6,18,21/03/2023,34:01.6,6,nocluster,0,,0,,0,1,SCot,-27.524301,153.494432,Peat Swamp,,K4AvNsvdgWtsQUfO1eodyQ==
