INDIR,FOLDER,IN FILE,Year,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID,Lat,Long,Main Habitat,REVIEW USERID,INPATHMD5
E:\Bat Acoustic Recordings\Curramore\March 24 Recordings\Recorder 6 Dam.Regrowth.March24\output,,CURRAMORE-HO_20240308_003601_000.wav,2024,2.668465,0.009023,30246.07,30447.754,30830.703,8/03/2024,36:03.7,0,7/03/2024,36:03.7,12,Ozimops ridei,0.055205,cluster.01,0.266857,cluster.02,0.295828,1,Ozimops ridei,-26.68948,152.746289,Dam,,DNt5NkE47m7juQHB4mUEIw==
E:\Bat Acoustic Recordings\Curramore\March 24 Recordings\Recorder 6 Dam.Regrowth.March24\output,,CURRAMORE-HO_20240312_203920_000.wav,2024,5.239166,0.023575,30476.521,30718.574,31012.41,12/03/2024,39:25.2,20,12/03/2024,39:25.2,8,Ozimops ridei,0.064406,cluster.01,0.209856,cluster.02,0.358292,1,Ozimops ridei,-26.68948,152.746289,Dam,,+npTs1kbnrzr5pPWF8Evjg==
E:\Bat Acoustic Recordings\Curramore\March 24 Recordings\Recorder 6 Dam.Regrowth.March24\output,,CURRAMORE-HO_20240307_204025_000.wav,2024,12.269873,0.46269,29851.578,30263.293,30596.631,7/03/2024,40:37.3,20,7/03/2024,40:37.3,8,Ozimops ridei,0.071356,cluster.01,0.326742,cluster.02,0.328454,1,Ozimops ridei,-26.68948,152.746289,Dam,,uHTN5F6OSt/SA+rSoW0QPA==
E:\Bat Acoustic Recordings\Curramore\March 24 Recordings\Recorder 6 Dam.Regrowth.March24\output,,CURRAMORE-HO_20240307_205926_000.wav,2024,4.678843,0.266964,30076.039,30314.402,30595.719,7/03/2024,59:30.7,20,7/03/2024,59:30.7,8,Ozimops ridei,0.07173,cluster.01,0.328673,cluster.02,0.349338,1,Ozimops ridei,-26.68948,152.746289,Dam,,lnuibBWPaY3qTBl+0gdU9g==
E:\Bat Acoustic Recordings\Curramore\March 24 Recordings\Recorder 6 Dam.Regrowth.March24\output,,CURRAMORE-HO_20240307_205926_000.wav,2024,6.953578,1.786584,29771.033,30192.354,30547.129,7/03/2024,59:33.0,20,7/03/2024,59:33.0,8,Ozimops ridei,0.085479,cluster.02,0.279208,cluster.01,0.331304,1,Ozimops ridei,-26.68948,152.746289,Dam,,lnuibBWPaY3qTBl+0gdU9g==
E:\Bat Acoustic Recordings\Curramore\March 24 Recordings\Recorder 6 Dam.Regrowth.March24\output,,CURRAMORE-HO_20240312_203920_000.wav,2024,7.994094,0.021885,30133.867,30544.73,30948.121,12/03/2024,39:28.0,20,12/03/2024,39:28.0,8,Ozimops ridei,0.086193,cluster.01,0.28345,cluster.02,0.40816,1,Ozimops ridei,-26.68948,152.746289,Dam,,+npTs1kbnrzr5pPWF8Evjg==
E:\Bat Acoustic Recordings\Curramore\March 24 Recordings\Recorder 6 Dam.Regrowth.March24\output,,CURRAMORE-HO_20240307_204040_000.wav,2024,2.687599,0.689257,30197.932,30638.68,30923.885,7/03/2024,40:42.7,20,7/03/2024,40:42.7,8,Ozimops ridei,0.090098,cluster.01,0.221147,cluster.02,0.400534,1,Ozimops ridei,-26.68948,152.746289,Dam,,QcSIMqHs5sSuUW4/T97BVw==
E:\Bat Acoustic Recordings\Curramore\March 24 Recordings\Recorder 6 Dam.Regrowth.March24\output,,CURRAMORE-HO_20240307_205926_000.wav,2024,5.61303,0.802309,30423.672,30810.809,31171.191,7/03/2024,59:31.6,20,7/03/2024,59:31.6,8,Ozimops ridei,0.100612,cluster.01,0.227015,cluster.02,0.413116,1,Ozimops ridei,-26.68948,152.746289,Dam,,lnuibBWPaY3qTBl+0gdU9g==
E:\Bat Acoustic Recordings\Curramore\March 24 Recordings\Recorder 6 Dam.Regrowth.March24\output,,CURRAMORE-HO_20240307_204025_000.wav,2024,11.324366,0.356217,30135.551,30435.73,30890.332,7/03/2024,40:36.3,20,7/03/2024,40:36.3,8,Ozimops ridei,0.109487,cluster.01,0.308563,cluster.02,0.409508,1,Ozimops ridei,-26.68948,152.746289,Dam,,uHTN5F6OSt/SA+rSoW0QPA==
E:\Bat Acoustic Recordings\Curramore\March 24 Recordings\Recorder 6 Dam.Regrowth.March24\output,,CURRAMORE-HO_20240312_205250_000.wav,2024,1.029088,0.525022,30037.781,30234.219,30458.418,12/03/2024,52:51.0,20,12/03/2024,52:51.0,8,Ozimops ridei,0.112232,cluster.01,0.35275,cluster.02,0.363591,1,Ozimops ridei,-26.68948,152.746289,Dam,,Yc7QnqhTw/1mpRuA/tCwMQ==
