Long,FOLDER,IN FILE,Year,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID,Lat,Long,Main Habitat,REVIEW USERID,INPATHMD5
E:\Josh Output,,ANM100_20240816_233613_000.wav,2024,1.762146,4.019145,26512.518,26748.648,27115.52,16/08/2024,36:14.8,23,16/08/2024,36:14.8,11,NOISE,0.043295,cluster.01,0.255831,cluster.03,0.455716,1,NOISE,-26.502079,153.080228,suburb,,dcRoPQH3/b6uTw4xHnbDxg==
E:\Josh Output,long calls,ANM100_20240816_233613.wav,2024,1.762146,4.019145,26512.518,26748.648,27115.52,16/08/2024,36:14.8,23,16/08/2024,36:14.8,11,NOISE,0.043295,cluster.01,0.255831,cluster.03,0.455716,1,NOISE,-26.502079,153.080228,suburb,,KRvk4rG4jb5IrXjMVKmuUA==
E:\Josh Output,,ANM100_20240816_233116_000.wav,2024,0.003794,3.191408,26302.621,26628.438,27003.734,16/08/2024,31:16.0,23,16/08/2024,31:16.0,11,NOISE,0.045413,cluster.01,0.260451,cluster.03,0.451558,1,NOISE,-26.502079,153.080228,suburb,,Y9QWlbA+lQItz9EFmT8v8Q==
E:\Josh Output,long calls,ANM100_20240816_233116.wav,2024,0.003794,3.191408,26302.621,26628.438,27003.734,16/08/2024,31:16.0,23,16/08/2024,31:16.0,11,NOISE,0.045413,cluster.01,0.260451,cluster.03,0.451558,1,NOISE,-26.502079,153.080228,suburb,,QWsLXSXOip9PCb18JtxujA==
E:\Josh Output,long calls,ANM100_20230803_225819.wav,2024,1.350213,1.826388,26300.494,26537.176,26803.242,3/08/2023,58:20.4,22,3/08/2023,58:20.3,10,NOISE,0.051755,cluster.01,0.306946,cluster.03,0.405269,1,NOISE,-26.502079,153.080228,suburb,,zbRrfFcrXOeDStrDXGTNUw==
E:\Josh Output,,ANM100_20230803_225819_000.wav,2024,1.350213,1.826388,26300.494,26537.176,26803.242,3/08/2023,58:20.4,22,3/08/2023,58:20.3,10,NOISE,0.051755,cluster.01,0.306946,cluster.03,0.405269,1,NOISE,-26.502079,153.080228,suburb,,GHozz6Shb6fmU/OaSXuI7g==
E:\Josh Output,,ANM100_20240816_234820_000.wav,2024,0.000775,1.674738,26210.701,26447.594,26763.824,16/08/2024,23:48:20,23,16/08/2024,11:48:20,11,NOISE,0.072494,cluster.01,0.315728,cluster.03,0.40287,1,NOISE,-26.502079,153.080228,suburb,,DpwlOokH7NFTeeoGq87rGg==
E:\Josh Output,long calls,ANM100_20240816_234820.wav,2024,0.000775,1.674738,26210.701,26447.594,26763.824,16/08/2024,23:48:20,23,16/08/2024,11:48:20,11,NOISE,0.072494,cluster.01,0.315728,cluster.03,0.40287,1,NOISE,-26.502079,153.080228,suburb,,22+P82cjn+A0j5XEPEXYcQ==
E:\Josh Output,,ANM100_20240816_233312_000.wav,2024,0.004145,3.437203,26376.777,26706.703,27142.742,16/08/2024,33:12.0,23,16/08/2024,33:12.0,11,NOISE,0.077826,cluster.01,0.294036,cluster.03,0.434678,1,NOISE,-26.502079,153.080228,suburb,,9PB4hMT74t+/UI7Oxkw9bw==
E:\Josh Output,long calls,ANM100_20240816_233312.wav,2024,0.004145,3.437203,26376.777,26706.703,27142.742,16/08/2024,33:12.0,23,16/08/2024,33:12.0,11,NOISE,0.077826,cluster.01,0.294036,cluster.03,0.434678,1,NOISE,-26.502079,153.080228,suburb,,aK9AlUhgPGuU2H3N4BWOLg==
E:\Josh Output,,ANM100_20240816_233226_000.wav,2024,6.065495,0.675077,26465.994,26797.232,27152.645,16/08/2024,32:32.1,23,16/08/2024,32:32.1,11,NOISE,0.080678,cluster.01,0.280869,cluster.03,0.449597,1,NOISE,-26.502079,153.080228,suburb,,VMorlX4LtEGQ6bpR2O8bTA==
E:\Josh Output,long calls,ANM100_20240816_233226.wav,2024,6.065495,0.675077,26465.994,26797.232,27152.645,16/08/2024,32:32.1,23,16/08/2024,32:32.1,11,NOISE,0.080678,cluster.01,0.280869,cluster.03,0.449597,1,NOISE,-26.502079,153.080228,suburb,,aJnNCP/iRUR+ThP7vMupsA==
E:\Josh Output,,ANM100_20240816_233226_000.wav,2024,0.10338,5.270999,26503.707,26831.645,27198.211,16/08/2024,32:26.1,23,16/08/2024,32:26.1,11,NOISE,0.082329,cluster.01,0.211866,cluster.03,0.50013,1,NOISE,-26.502079,153.080228,suburb,,VMorlX4LtEGQ6bpR2O8bTA==
E:\Josh Output,long calls,ANM100_20240816_233226.wav,2024,0.10338,5.270999,26503.707,26831.645,27198.211,16/08/2024,32:26.1,23,16/08/2024,32:26.1,11,NOISE,0.082329,cluster.01,0.211866,cluster.03,0.50013,1,NOISE,-26.502079,153.080228,suburb,,aJnNCP/iRUR+ThP7vMupsA==
E:\Josh Output,,ANM100_20240816_232953_000.wav,2024,0.110987,2.984439,25781.225,26178.465,26936.994,16/08/2024,29:53.1,23,16/08/2024,29:53.1,11,NOISE,0.097628,cluster.01,0.351606,cluster.03,0.372407,1,NOISE,-26.502079,153.080228,suburb,,DUqP++pkMQAM1PRHe1t6Gg==
