INDIR,FOLDER,IN FILE,Year,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID,Lat,Long,Main Habitat,REVIEW USERID,INPATHMD5
E:\Katrin,,KATRIN_20241011_235711_000.wav,2024,0.000552,6.007725,55687.59,58226.699,65243.496,11/10/2024,23:57:11,23,11/10/2024,11:57:11,11,Miniaus,0.082355,cluster.01,1.405925,cluster.08,1.407062,1,Miniaus,-26.679499,153.107683,Suburb,,aLI26oG88pL37sN5bbN4zA==
E:\Katrin,,KATRIN_20240924_234357_000.wav,2024,0.233084,4.796843,55683.266,57807.543,64637.715,24/09/2024,43:57.2,23,24/09/2024,43:57.2,11,Miniaus,0.113655,cluster.01,1.405927,cluster.08,1.407062,1,Miniaus,-26.679499,154.107683,Suburb,,2CvKEtgyaRMeLxRaTc60Sg==
E:\Katrin,,KATRIN_20241010_230706_000.wav,2024,0.595711,7.491678,56013.859,58156.566,64692.219,10/10/2024,07:06.6,23,10/10/2024,07:06.6,11,Miniaus,0.113936,cluster.01,1.40593,cluster.08,1.407062,1,Miniaus,-26.679499,155.107683,Suburb,,6vAhRavJTDwgfevzxBeR5Q==
E:\Katrin,,KATRIN_20240927_233326_000.wav,2024,0.000576,3.428955,56020.426,58149.977,63763.395,27/09/2024,23:33:26,23,27/09/2024,11:33:26,11,Miniaus,0.115181,cluster.01,1.405928,cluster.08,1.407063,1,Miniaus,-26.679499,156.107683,Suburb,,tJ74bJIa+VkcfuxUuClbNg==
E:\Katrin,,KATRIN_20240927_233326_000.wav,2024,4.648673,5.539582,56269.008,58267.52,63581.855,27/09/2024,33:30.6,23,27/09/2024,33:30.6,11,Miniaus,0.118245,cluster.01,1.405926,cluster.23,1.407009,1,Miniaus,-26.679499,157.107683,Suburb,,tJ74bJIa+VkcfuxUuClbNg==
E:\Katrin,,KATRIN_20240920_035000_000.wav,2024,0.000513,4.63389,55823.059,58272.512,64293.523,20/09/2024,3:50:00,3,19/09/2024,15:50:00,15,Miniaus,0.118378,cluster.01,1.40593,cluster.08,1.407063,1,Miniaus,-26.679499,158.107683,Suburb,,dNV2ZkhmI4HROK9BIuLxEw==
E:\Katrin,,KATRIN_20241012_001005_000.wav,2024,0.25062,4.346645,55750.297,58139.211,65471.789,12/10/2024,10:05.2,0,11/10/2024,10:05.2,12,Miniaus,0.118451,cluster.01,1.405928,cluster.08,1.407063,1,Miniaus,-26.679499,159.107683,Suburb,,F7vE2kp4czL1hjdm0E0xsg==
E:\Katrin,,KATRIN_20240930_012810_000.wav,2024,0.000534,4.492123,56314.516,58220.461,63865.547,30/09/2024,1:28:10,1,29/09/2024,13:28:10,13,Miniaus,0.130606,cluster.01,1.405929,cluster.08,1.407063,1,Miniaus,-26.679499,160.107683,Suburb,,qnwlBp7pDb9UU7aM6FnR+A==
E:\Katrin,,KATRIN_20240926_024703_000.wav,2024,0.000538,3.82713,55010.109,57764.996,63131.164,26/09/2024,2:47:03,2,25/09/2024,14:47:03,14,Miniaus,0.134375,cluster.01,1.405929,cluster.08,1.407063,1,Miniaus,-26.679499,161.107683,Suburb,,ngdQTTtVl8WqEFQJGEfqzw==
E:\Katrin,,KATRIN_20240925_213720_000.wav,2024,0.09718,4.104438,56320.246,58300.25,65089.809,25/09/2024,37:20.1,21,25/09/2024,37:20.1,9,Miniaus,0.136581,cluster.01,1.405929,cluster.08,1.407063,1,Miniaus,-26.679499,162.107683,Suburb,,tRdATsfipK4AqKU+eyXR0g==
